hello	hallo
good morning	guten morgen
good night	gute nacht
thank you	danke
see you later	bis spaeter
how are you	wie geht es dir
i am fine	ich bin gut
i am a student	ich bin ein student
you are a teacher	du bist ein lehrer
he is my friend	er ist mein freund
she is my sister	sie ist meine schwester
we are ready	wir sind bereit
they are here	sie sind hier
i like apples	ich mag aepfel
i like bananas	ich mag bananen
i like books	ich mag buecher
i like music	ich mag musik
you like coffee	du magst kaffee
you like tea	du magst tee
we like sports	wir moegen sport
they like pizza	sie moegen pizza
he likes cars	er mag autos
she likes flowers	sie mag blumen
i have a book	ich habe ein buch
i have a dog	ich habe einen hund
you have a cat	du hast eine katze
we have time	wir haben zeit
they have money	sie haben geld
he has a bike	er hat ein fahrrad
she has a pen	sie hat einen stift
i want water	ich will wasser
i want bread	ich will brot
you want milk	du willst milch
we want help	wir wollen hilfe
they want rest	sie wollen ruhe
he wants lunch	er will mittagessen
she wants sleep	sie will schlaf
i need a doctor	ich brauche einen arzt
you need a taxi	du brauchst ein taxi
we need a map	wir brauchen eine karte
they need food	sie brauchen essen
he needs advice	er braucht rat
she needs a phone	sie braucht ein telefon
i see the house	ich sehe das haus
i see the river	ich sehe den fluss
you see the school	du siehst die schule
we see the train	wir sehen den zug
they see the city	sie sehen die stadt
he sees the child	er sieht das kind
she sees the garden	sie sieht den garten
this is easy	das ist einfach
this is difficult	das ist schwierig
the weather is nice	das wetter ist schoen
the room is small	der raum ist klein
the car is new	das auto ist neu
my name is anna	ich heisse anna
my name is tom	ich heisse tom
where is the station	wo ist der bahnhof
where is the hotel	wo ist das hotel
open the window	oeffne das fenster
close the door	schliesse die tuer
please sit down	bitte setz dich
please come in	bitte komm herein
do you speak english	sprichst du englisch
i do not understand	ich verstehe nicht
can you help me	kannst du mir helfen

